List of GSM companies w.e.f 06.06.2019,,,,
Sr. No.,Scrip code,Security Name,ISIN,GSM Stage
160,531237,Dhruva Capital Services Ltd,INE972E01014,0
161,526927,Dion Global Solutions Ltd,INE991C01034,0
162,531553,Disha Resources Ltd,INE193D01019,I
163,538432,Divinus Fabrics Ltd,INE478P01018,I
164,517973,DMC Education Ltd,INE585D01024,VI
165,526677,DSJ Communications Ltd,INE055C01020,VI
166,538608,Dwitiya Trading Ltd,INE222P01028,0
167,531533,e.com Infotech India Ltd,INE578B01015,I
168,507917,East Buildtech Ltd,INE706N01017,II
169,520081,Eastcoast Steel Ltd,INE315F01013,I
170,590022,Eastern Silk Industries Ltd,INE962C01027,I
171,523732,Ecoboard Industries Ltd,INE866A01016,I
172,532696,Educomp Solutions Ltd,INE216H01027,0
173,538653,Ejecta Marketing Ltd,INE649L01013,I
174,530581,Ekam Leasing & Finance Company Ltd,INE906L01017,V
175,513452,Elango Industries Ltd,INE594D01018,I
176,522027,EMA India Ltd,INE279D01016,I
177,524588,Emed.com Technologies Ltd,INE379F01019,I
178,507265,Emerald Leisures Ltd,INE044N01013,I
179,532038,Emmsons International Ltd,INE073C01015,II
180,500132,Empee Sugars & Chemicals Ltd,INE928B01012,I
181,530407,EPIC Energy Ltd,INE932F01015,I
182,531155,Epsom Properties Ltd,INE601F01016,III
183,511716,Escorts Finance Ltd,INE359A01012,I
184,531259,Esha Media Research Ltd,INE328F01016,0
185,514118,Eskay KnIT India Ltd,INE220A01032,I
186,533149,Essar Securities Ltd,INE143K01019,0
187,530929,Euro Asia Exports Ltd,INE535P01015,II
188,532823,Euro Ceramics Ltd,INE649H01011,I
189,533109,Euro Multivision Ltd,INE063J01011,I
190,514060,Evergreen Textiles Ltd,INE229N01010,0
191,514358,Everlon Synthetics Ltd,INE339D01034,0
192,530571,Explicit Finance Ltd,INE335G01019,I
193,539552,F Mec International Financial Services Ltd,INE108T01013,0
194,532657,Facor Steels Ltd,INE829G01011,VI
195,500142,FGP Ltd,INE512A01016,V
196,531486,Filmcity Media Ltd,INE600B01033,VI
197,517264,Fine Line Circuits Ltd,INE087E01011,II
198,540267,Flora Corporation Ltd,INE318U01016,0
199,530705,Flora Textiles Ltd,INE161F01011,0
200,530213,Fortune International Ltd,INE501D01013,0
201,532403,Fourth Generation Information Systems Ltd,INE739B01039,III
202,539032,Fraser and Company Ltd,INE184Q01010,I
203,508980,Frontier Capital Ltd,INE977E01013,0
204,531225,Frontier Informatics Ltd,INE547B01028,V
205,538568,Fruition Venture Ltd,INE836C01015,0
206,523113,Futuristic Securities Ltd,INE425D01015,0
207,511609,ISL Consulting Ltd,INE569B01022,III
208,524624,Gagan Gases Ltd,INE076D01016,I
209,538609,Gajanan Securities Services Ltd,INE868G01019,0
210,505711,Gajra Bevel Gears Ltd,INE282D01010,I
211,538881,Galada Finance Ltd,INE243E01010,0
212,504697,Galada Power & Telecommunication Ltd,INE255C01018,0
213,506186,Galaxy Cloud Kitchens Ltd,INE403B01016,II
214,504397,Ganesh Holdings Ltd,INE932M01011,0
215,530945,Gangotri Iron & Steel Company Ltd,INE437F01023,VI
216,530615,Garg Furnace Ltd,INE194E01015,I
217,514400,Garware Synthetics Ltd,INE340D01016,I
218,524564,Gayatri BioOrganics Ltd,INE052E01015,I
219,512479,Gayatri Tissue & Papers Ltd,INE661K01010,III
220,530855,GDL Leasing & Finance Ltd,INE545E01018,0
221,532318,Gemini Communication Ltd,INE878C01033,I
222,540361,Danube Industries Ltd,INE575D01033,I
223,514336,Genesis Ibrc India Ltd,INE194N01016,I
224,531939,Genus Commu Trade Ltd,INE577B01017,VI
225,507506,Girdharilal Sugar & Allied Industries Ltd,INE310M01010,I
226,531758,GK Consultants Ltd,INE131D01019,0
227,531479,Global Land Masters Corporation Ltd,INE330B01011,0
228,540266,Globe Commercials Ltd,INE804Q01013,0
229,531904,Globus Corpooration Ltd,INE774B01028,V
230,538542,Gold Coin Health Foods Ltd,INE634J01019,I
231,539853,Golden Capital Services Ltd,INE135D01010,0
232,531928,Golden Carpets Ltd,INE595D01015,I
233,504701,Gontermann Peipers India Ltd,INE530A01026,I
234,531913,Gopal Iron & Steels Company Gujarat Ltd,INE641H01018,0
235,509148,Govind Rubber Ltd,INE011C01015,I
236,530663,Goyal Associates Ltd,INE912B01032,I
237,517564,GR Cables Ltd,INE769B01010,VI
238,532139,G-Tech Info-Training Ltd,INE634D01038,0
